Drug_wlkffqozug : (Drug_ueahriohcd,Eff_gaftvdwbrs) 
Drug_mkqyazkztx : (Drug_engfpygapo,Eff_saxrmmkchx) ; (Drug_efihuvltzy,Eff_hvgyvhgnji) 
Drug_djkmxkhuys : (Drug_sbgrciymin,Eff_ngaolgefat) 
Drug_ypdwdyfloe : (Drug_bwtidymfau,Eff_nofodfeqjh) ; (Drug_pcuibsizub,Eff_llxvsoxqvb) 
Drug_imkighbzuu : (Drug_pqrhanolpv,Eff_mrrksbxpoj) ; (Drug_kaxvsneqcp,Eff_yisxtjjagb) 
Drug_uzlmxpcykl : (Drug_ajxhhnhadh,Eff_lqyeqdayhr) 
Drug_gfqohgqjdi : (Drug_kfyuhjnaen,Eff_fjyqcmowuy) 
Drug_ytjqdasxuc : (Drug_gthbjnhbmj,Eff_ijnnngkanm) 
Drug_pfykwjvuqf : (Drug_otmbhhmbji,Eff_hkqmsorfiq) 
Drug_vgjjfghdxi : (Drug_cbsnfdbhws,Eff_ywqfbzprqh) 
Drug_evqwzaehos : (Drug_izznqjiecu,Eff_pndlykzqfk) 
Drug_gglbeckmal : (Drug_fgucgyceaq,Eff_sumndcdpaw) 
Drug_brapgovcmc : (Drug_xkzdgzhfof,Eff_ubjzeveitm) 
Drug_wfggwrrpyw : (Drug_emaqocjdym,Eff_ophbtconns) 
Drug_dsbyaetwht : (Drug_plibrpuuui,Eff_mhldlijmhi) 
Drug_ywrigkwauz : (Drug_avmddiobqu,Eff_ouyrnbbcpj) 
Drug_hbdjcyklkw : (Drug_lrrartjhmd,Eff_oppfnnxibv) 
Drug_vkhgcsdsme : (Drug_ixgurxadrd,Eff_ycetqptrvb) 
Drug_atnnxukwrf : (Drug_qxnmamxbjf,Eff_pkuwnnrqam) 
Drug_sxzpipdjbk : (Drug_lgfwhtkcde,Eff_enhspezaut) 
Drug_wzabafzpmw : (Drug_rosyrdpbbs,Eff_yqiabynqwm) 
Drug_zsnwmlknfn : (Drug_tqsavqlztr,Eff_ckfuanfszx) 
Drug_gfrfoweztp : (Drug_exxxutslat,Eff_lixniulwoi) 
Drug_cywzkphjoz : (Drug_rdeksplbbx,Eff_nfifmepllv) 
Drug_pyfzazkbwk : (Drug_naybfstdro,Eff_wakyuckfmb) 
Drug_hufdlqbmef : (Drug_hvtedopfil,Eff_tbkdwfyjbs) 
Drug_mzojmchttv : (Drug_wvxwqxfuzl,Eff_lfaifgxjfd) 
Drug_ezdsluurwi : (Drug_alhwiqdxvr,Eff_ptexpxzwuw) 
Drug_bhpmxnkkbq : (Drug_pzfcvkxpga,Eff_wcjqfrutzq) 
Drug_hhgqupnjah : (Drug_patabaedqb,Eff_guthbghcdg) 
Drug_vkuqzkjhmy : (Drug_cisoufuksw,Eff_bonvlzolyc) 
Drug_bzhtyevjea : (Drug_tmmzvxhwoh,Eff_rlqdwkizeg) 
Drug_mkkbzubgac : (Drug_zbxhfzymuf,Eff_osuxmwvvln) 
Drug_bngqkymgfz : (Drug_fjymmmmygv,Eff_npsesxamiy) 
Drug_rzjtaritaf : (Drug_ddgtpfxyhl,Eff_alorgagmxp) 
Drug_knhmtxkdjr : (Drug_kjglmhcmwl,Eff_ckdurbqxvz) 
Drug_qytycawwld : (Drug_tvumouffih,Eff_hwxbjfvuvg) 
Drug_kjapvpqdws : (Drug_ubplcfovjx,Eff_jmaqsohmsg) ; (Drug_xyftazehmz,Eff_vjipdywjdd) 
Drug_mfrxxabwha : (Drug_ahgorqsban,Eff_tloxkwdwvv) 
Drug_cfwfbcnswa : (Drug_ltjdbmpfba,Eff_zdotusaqhd) 
Drug_tgnipdhlyd : (Drug_suycqhxzsv,Eff_rupretevqw) ; (Drug_tbpzpiisbn,Eff_wzfdjizsod) 
Drug_adjjbpfzbz : (Drug_efgwiqsulu,Eff_agxiiboglq) 
Drug_mfnsmlfbpg : (Drug_zyttsquxyr,Eff_dduiorsrib) 
Drug_dmjrlggqqx : (Drug_gucgmklaep,Eff_rdygedptei) 
Drug_bzyubxqlcu : (Drug_xiaeiigodj,Eff_utpokyhnvw) 
Drug_sekunaztbw : (Drug_oasocnbiyv,Eff_thacgczrub) 
Drug_nmpzgftxup : (Drug_ilazcrocmh,Eff_vsrdlcxayj) 
Drug_ssuftaebre : (Drug_nztcetrcfs,Eff_ursaajahxz) 
Drug_uuqpzvuonq : (Drug_lkegrwznby,Eff_hvsoqhwkik) 
Drug_xwfsjvowgh : (Drug_kvgxxztqko,Eff_epzrwijdky) 
Drug_hpwvjmunov : (Drug_uhcydhyetx,Eff_yumycsqeem) 
Drug_zwtiusepet : (Drug_sgjnlxwzrh,Eff_gmfgqqzwky) 
Drug_sjecgidlbe : (Drug_qsdsdbblwi,Eff_jdhvxcwbur) 
Drug_atozjdibfe : (Drug_iszqjvtcps,Eff_vsponstbfi) 
Drug_iegwpsuxex : (Drug_jnpzkizxfy,Eff_cakwebbast) 
Drug_rxeolqqnor : (Drug_jylcnadrrm,Eff_ofyvmbqeno) 
Drug_ypcamlpsdg : (Drug_nhmrtahkzn,Eff_jkdoltocxc) 
Drug_lqfyjeqtgt : (Drug_fwnizfzijx,Eff_mifhevvllm) ; (Drug_ofhjsgxsyc,Eff_wtcvajtvsx) 
Drug_gcnlxozegu : (Drug_ygkwzikmsy,Eff_jddhruqxzm) 
Drug_ifeotrogew : (Drug_takupykbsr,Eff_fupxvbpjig) 
Drug_qrfocbhpcs : (Drug_rialuboipb,Eff_qhnootbsre) 
Drug_hfhwpcpwjz : (Drug_uzopdtswhf,Eff_sqpmqhevpw) 
Drug_kqxqzwwhsz : (Drug_yufwmhsqeu,Eff_iqmdidljrn) 
Drug_hnjoaxkhts : (Drug_azivxfgwom,Eff_aromupiuvf) 
Drug_jmulhawuzy : (Drug_nzctsynkzm,Eff_xcsnmgwwwa) 
Drug_lrekqsyqyb : (Drug_gqrzzchvgy,Eff_gfunfwobfn) ; (Drug_luvumozvhx,Eff_rlfzssrwqc) 
Drug_famfrxtxcn : (Drug_iwvynyytaf,Eff_zcsgpfmrne) 
Drug_bdqdoulxrj : (Drug_fzjzxyyowf,Eff_brdinoosde) 
Drug_ohjaywxcki : (Drug_ktsxyekoyo,Eff_yvsxlkjcbg) 
Drug_atjelrmcmc : (Drug_dhctahbofb,Eff_fogakztttx) 
Drug_rsulpkhtfp : (Drug_fzjvvqglbu,Eff_vqgzlqnnyn) 
Drug_fpmltbhtvj : (Drug_wvljuyfmad,Eff_actywtroeo) 
Drug_dxqhcrkawa : (Drug_futjwhbzls,Eff_uxbhpdzhga) 
Drug_wwyqznxwpr : (Drug_sfitwvuowh,Eff_oermadaqhz) 
Drug_zqusvsraxx : (Drug_xddceelaxu,Eff_fypwisqlhq) 
Drug_ntkocfhukr : (Drug_qtvpfyxpfd,Eff_viwpzfieqh) 
Drug_kutnnpqqfp : (Drug_zirzmlnayl,Eff_oywyyefuzm) 
Drug_xvqqjsglkf : (Drug_hszwudxiqy,Eff_wdvukgtths) 
Drug_igbofwvlkf : (Drug_edvryuvlcc,Eff_dkzoseguji) 
Drug_clyxbasxjn : (Drug_roeqtcjujm,Eff_chlucuyycf) 
Drug_lhykgaihmd : (Drug_lufyckydpm,Eff_hqsiwawbin) 
Drug_cyacrtthch : (Drug_poeuydsmye,Eff_ewaimpbnsb) 
Drug_nmupgcvgwa : (Drug_wlgzgjrhnw,Eff_mpwedvipba) ; (Drug_jnxnmvzxkx,Eff_flfedclfnh) ; (Drug_fuhgbejmak,Eff_dvbfxqtbmp) 
Drug_mkrlmgvuwh : (Drug_zyhcksnhkq,Eff_usihvayivn) 
Drug_rlcxaockkx : (Drug_mahkyqblux,Eff_yongnhonee) 
Drug_ybcgkqssgi : (Drug_kczgyxkhpo,Eff_ondhprxxpn) 
Drug_pghxdftika : (Drug_qhnodyeeou,Eff_yyaajbmlpn) ; (Drug_ssqsmuywrf,Eff_eqwwqkueyf) 
Drug_xyfnnjhnlk : (Drug_qnkwofehnk,Eff_rqgpwijgmz) 
Drug_tdzrjfyadv : (Drug_ierhahgzcq,Eff_lsauiyuygx) 
Drug_szbvqjddlh : (Drug_sxnmznvjot,Eff_imqxydozsd) ; (Drug_yozzbdqgfp,Eff_zhekvtvijd) 
Drug_jlrxcjmywy : (Drug_nspmubaiku,Eff_nypucrofje) 
Drug_avpygscyop : (Drug_alhbufdiuy,Eff_flkitqeyvk) 
Drug_cawlnmbkmr : (Drug_phaqavacye,Eff_lmacdmuusx) 
Drug_awxezxwrmi : (Drug_dyuknywunt,Eff_unljyeopcm) 
Drug_vxslurtqwe : (Drug_albdozhtuc,Eff_jovfxlolaz) 
Drug_yjbmzozrvg : (Drug_dpdtjbfhle,Eff_xxruwyfnfv) 
Drug_eyskqnlkay : (Drug_zcysfgsagd,Eff_zjslzxhvku) 
Drug_ypbrioozfd : (Drug_yrgfcfvpsy,Eff_wuocrvseji) 
Drug_xzlalwnxxh : (Drug_aisjkwsxhy,Eff_abebcfyvxa) 
Drug_qnoszglrwp : (Drug_jbwkuwzsdh,Eff_ztmkirmndw) 
Drug_rknpzktkbr : (Drug_uhwaggtejx,Eff_pydphbgpog) ; (Drug_xunjxceooq,Eff_tsarmmxpjv) 
Drug_nytxsctayh : (Drug_jwdhijoxgq,Eff_wvadbfmqsx) 
Drug_sayqocdauz : (Drug_ptccpffzbj,Eff_exqmbbqzhb) ; (Drug_xwrbcmedvg,Eff_bfboblcost) 
Drug_kuyqvbzzvn : (Drug_cmicctvjeb,Eff_vmgarypuef) 
Drug_xbywfkjica : (Drug_dnkinlsaxv,Eff_vkbcrhjwri) 
Drug_bjirsdrppf : (Drug_yijdbylknu,Eff_khyifzeqke) 
Drug_rruqbbpvak : (Drug_jgevstyjfe,Eff_ibkflnudxp) 
Drug_mkoqxokedf : (Drug_dcmrqldwjt,Eff_xzmidgjryu) 
Drug_klxgjfvuep : (Drug_auzifcdhmp,Eff_ryavyymmxf) ; (Drug_pqkxkwjpmx,Eff_kkfljuycfa) 
Drug_oanvwrhtik : (Drug_uetalovhmc,Eff_xznpwutekz) 
Drug_iqdwqkjhvm : (Drug_kjjzthbzep,Eff_jcitgmmpah) 
Drug_tacaaeammx : (Drug_clzjwgqptn,Eff_ycnfyylqvd) 
Drug_osmbjnpbys : (Drug_johfsdigua,Eff_iifiytipvl) 
Drug_xcrjvuqqnm : (Drug_mdrancxpxs,Eff_lkqhzlgdkl) 
Drug_isflxjgpas : (Drug_xblfsrazkn,Eff_ygeyyepscg) 
Drug_cxdteezngf : (Drug_iptasagoxn,Eff_fdpoykmmto) 
Drug_eiynhihfmy : (Drug_telolheqem,Eff_dlcwmgrrvc) 
Drug_ztdndcftmp : (Drug_oupirdiseo,Eff_exyhoavxgx) 
Drug_vwrecqatnn : (Drug_vzgpnrrfva,Eff_skgemwskkn) 
Drug_rqwgruyamw : (Drug_bwnnqouilh,Eff_raknqefbnx) 
Drug_zpkjovtwnw : (Drug_zqjctifwpo,Eff_gjzszlmtwq) 
Drug_epqikpdaxe : (Drug_utahpfjglg,Eff_qdzzvvpaui) 
Drug_qiaxlsjagh : (Drug_depkhcunhe,Eff_njoldapkhj) 
Drug_xhtczalsji : (Drug_zfbryupqej,Eff_esrjdotxcy) 
Drug_ngshmmzmvc : (Drug_lznqedyaoq,Eff_txaydottgt) 
Drug_qxzhnfqfwj : (Drug_syxzegxqmw,Eff_fykdnlgiee) 
Drug_ofgiyyzmdi : (Drug_cbqcorfyps,Eff_iyoazaxiuz) 
Drug_nmazqvpeyi : (Drug_jwydjdarur,Eff_gnrqgfeftx) 
Drug_zyurzylimq : (Drug_jklitrujbp,Eff_sndhgjdjmh) 
Drug_ltwfgjetzj : (Drug_srhnwoasyz,Eff_rpqgsshnnj) 
Drug_aynydtvsck : (Drug_yznazdiylx,Eff_gksmunqvuf) 
Drug_vrjrjnzngc : (Drug_vchliqqsxo,Eff_pjtgekqtpb) 
Drug_ebancdrnzh : (Drug_ryvwjtkeqs,Eff_dbctjldnkd) 
Drug_lbaqzjwktu : (Drug_inhgeksqcb,Eff_rjxnlgiqzs) 
Drug_mbycuezzrq : (Drug_rcgtgusefq,Eff_lbkxgnkbjt) 
Drug_dbzrirgmli : (Drug_mwooafwltk,Eff_xsbbghayjr) 
Drug_odndtflygy : (Drug_kczcldhaop,Eff_eqzpfluiuo) 
Drug_htqlbhvqoj : (Drug_lscelfmxak,Eff_uiqsjhdyjs) 
Drug_wqgqwvrlcf : (Drug_vkpirucbxr,Eff_svucibnyjb) 
Drug_hktlhvqmkw : (Drug_tppxasbkxp,Eff_pbwlcqrvpq) 
Drug_ypuxjloxmn : (Drug_eghglexdqo,Eff_oobbbbarry) 
Drug_nlavtatmqy : (Drug_rfsglctisg,Eff_kwxxnlmigv) 
Drug_jzptvucftr : (Drug_biqdsgmyqf,Eff_jkczgfrbma) 
Drug_ljefspxduu : (Drug_pjilucxepu,Eff_vufwqrfyyq) 
Drug_uewkghvxmq : (Drug_mfsmtlknco,Eff_xzpznqejgz) 
Drug_vnqgxghdvs : (Drug_xbpytyevqu,Eff_yuvyrfnodx) 
Drug_dbfcyeamwr : (Drug_aviwpfjzim,Eff_wpeizbfbxx) 
Drug_ogjysaqvkq : (Drug_ehrnqsjjxe,Eff_fmbppgopkk) 
Drug_egyqzyptju : (Drug_wchwdszlkt,Eff_zfrumhlwmz) 
Drug_sbvskopyiv : (Drug_sibzfmstgk,Eff_wdjclxcimc) 
Drug_vkjhawiadj : (Drug_kgxtvfvmrl,Eff_kkrbagfnyb) 
Drug_zstofiongm : (Drug_dgivbsdwko,Eff_bhotoorxmc) 
Drug_cqrffxzycp : (Drug_ocsdkkpeqo,Eff_pyyavsrhoo) 
Drug_lwtehwmlrk : (Drug_rhyumkfiwm,Eff_kjnouazbnj) 
Drug_arawpudtsd : (Drug_gmifdkfbko,Eff_qcrhlmuvam) ; (Drug_vznrmynhrq,Eff_ulqqptmuoi) 
Drug_ulzvoyppry : (Drug_defllyhfda,Eff_qtwuxnxcbm) 
Drug_lldyaxxdyw : (Drug_yudinayyfg,Eff_fjitxbstmq) 
Drug_lrjfnmsyst : (Drug_faubpudggq,Eff_agkazrqltw) 
Drug_gyjpralvvu : (Drug_erlrdjnnjy,Eff_uyklnfetgk) 
Drug_kqfoqefyot : (Drug_jeywmmtkbz,Eff_qhurtzynym) 
Drug_twegkotcde : (Drug_gafuuxwpel,Eff_vzjkcbbhgy) 
Drug_isfqtkrkrv : (Drug_bfnycukznn,Eff_jyjrgtqpij) 
Drug_dgncgyxqyk : (Drug_jguoyzlepl,Eff_xnwaawwaoy) 
Drug_ufqcgxasok : (Drug_exayhkuywl,Eff_vfidexhjux) 
Drug_eqrhtuzegz : (Drug_cakutgupne,Eff_vmjwlecgtt) 
Drug_pkbuaongpz : (Drug_rlgogoverc,Eff_niufgnemym) 
Drug_lqluslniug : (Drug_iemcqnctzc,Eff_mxvnernpmx) 
Drug_btiayspeng : (Drug_ykwbgxmqmb,Eff_lojlwustfa) ; (Drug_qkhupbdonu,Eff_gzlcophdvt) 
Drug_msmpumywsh : (Drug_hncpjfqtej,Eff_nzrkdjeyiy) 
Drug_adhzphkkov : (Drug_jmwhouypnz,Eff_hiilniqbkr) 
Drug_zgftbdmqop : (Drug_vagnhohehq,Eff_kplvcrqzgk) 
Drug_qqnncwyzlh : (Drug_juuujvcnex,Eff_wouhjpadgk) 
Drug_qfzzmiraiy : (Drug_xrqlcwblmj,Eff_zkuifanhph) 
Drug_fcdxmomesh : (Drug_pozhnzdinc,Eff_mcsbpkjaoj) 
Drug_tcpkykubzk : (Drug_jgeengacuf,Eff_bgfehexena) 
Drug_gfdeyznsts : (Drug_bdaxeuohxw,Eff_mnrjqdzjgi) 
Drug_kiazzfaiay : (Drug_rpkcfocewb,Eff_rskmnokjle) ; (Drug_gqtrwjsnzu,Eff_utwldjjtee) 
Drug_lttdzznchl : (Drug_keabcvsvlf,Eff_ulmwwcgsrs) 
Drug_dcbotxnkgs : (Drug_brihcwvgna,Eff_libpkbebkr) 
Drug_hjzcszazkf : (Drug_ydlzvuibma,Eff_anvwnwgimx) ; (Drug_njhxhwdkgv,Eff_efdlelefkj) 
Drug_xvnvryeboy : (Drug_alhcihglfj,Eff_fjnrfehfjc) ; (Drug_abswdfynks,Eff_thhmhpwucv) 
Drug_uejgodyzlr : (Drug_mrgdatyzuv,Eff_zmnnegytda) 
Drug_jejppdacjo : (Drug_obifkdndut,Eff_ynnvlftian) 
Drug_pipagnzole : (Drug_xapgacllmy,Eff_zhbmsblviy) 
Drug_avvbrfuvbj : (Drug_npgyzcbuhw,Eff_urbaykxsjw) 
Drug_wczgfmlizg : (Drug_crbifjscwr,Eff_dyyzlbegnu) 
Drug_brrqjehlqv : (Drug_shugqryjdx,Eff_ehzmnmfhtt) 
Drug_itjiwytyrg : (Drug_obpofekkjr,Eff_dtcfehhdgw) 
Drug_tzznyjkrwm : (Drug_dkjandhafx,Eff_jlesesapqy) 
Drug_vhkvdnbwgy : (Drug_dhapgnwqmm,Eff_rxwoiuecrj) 
Drug_dptpzhdvsa : (Drug_jwpwuuyqmy,Eff_ixhsankwut) 
Drug_smgckqimai : (Drug_twdgtzumky,Eff_ajgzxfcuux) 
Drug_mrhqmkhfex : (Drug_koqygnaaid,Eff_lzrhgiwgba) 
Drug_qiatebmukp : (Drug_lrlicnxfdj,Eff_zebhksykqh) 
Drug_ljjtkpeyus : (Drug_aynuegnyyg,Eff_srxngeudjt) 
Drug_jtnvtzqxmw : (Drug_evtiqirhgw,Eff_skkazpzlvs) 
Drug_voambfjinq : (Drug_hfoxhtuedb,Eff_blbesvdpov) 
Drug_khglfwmjhy : (Drug_tljvgeqmow,Eff_zprnamyeft) 
Drug_zromfpvkop : (Drug_qeetzkursp,Eff_sryngyopwd) 
Drug_byzspekcik : (Drug_lbdetrpxat,Eff_ysptfqezoi) ; (Drug_oeqqiunqnl,Eff_uucoqsjesh) 
Drug_xkubhdselo : (Drug_bzgsgqsjzh,Eff_rvzrkipsef) 
Drug_hyecpdaudj : (Drug_zzhlkwmuor,Eff_jswfzqdhkk) 
Drug_ybplcukmle : (Drug_zjdypuocuf,Eff_aptjjaogcr) 
Drug_bjnlmehfgh : (Drug_vypepqcypx,Eff_zdxxepyglf) 
Drug_svxwzovony : (Drug_rnybcwfmgp,Eff_citqwbllcg) 
Drug_qeuxhvepfp : (Drug_npbvlkzuzq,Eff_cgmwirrbyo) 
Drug_stzlsjbtlt : (Drug_detktizyxw,Eff_aidsaiqaah) ; (Drug_rpnfizyjbw,Eff_auipdacvkx) 
Drug_bbptudnihq : (Drug_wyzhxvfcei,Eff_lulgmqjgox) 
Drug_fsqpuhmipk : (Drug_vnhspbxklv,Eff_yxpwomqvlo) 
Drug_ojuhekkohg : (Drug_hhtlcbtprz,Eff_fchaujdpre) ; (Drug_pwfrbibixc,Eff_siieqamfes) 
Drug_iwaliqxklr : (Drug_cpifdqxnol,Eff_kdldkwueew) 
Drug_zzgkfzkzfs : (Drug_expkfgisyd,Eff_pmgilkhmpb) 
Drug_dqcjvgwaaw : (Drug_fbrmrtdwot,Eff_xtychtomvo) 
Drug_ypfxavbcvm : (Drug_lqqpcunyyh,Eff_mlmfxhzlfd) 
Drug_baswtrmpcw : (Drug_sbapxomwvb,Eff_rwnwibhagy) 
Drug_jnwcggpazo : (Drug_rvqpqllglt,Eff_lpshjcxwfa) 
Drug_qhcdcrione : (Drug_beertwsoeq,Eff_sznulmiddq) 
Drug_qmaturmhjo : (Drug_jnrtxskmyj,Eff_yqjhdkebrv) 
Drug_yiuiljsono : (Drug_qykhrezcpr,Eff_udatjgtamq) 
Drug_mtbofodpko : (Drug_tazqlllksh,Eff_oohswjeqpc) 
Drug_siizwzixoq : (Drug_goltpkwbvx,Eff_kvzkorlwih) 
Drug_xqygapzhgu : (Drug_gnpkcrfsdo,Eff_xgyryusash) 
Drug_kdxckdtehj : (Drug_zguiiozuwz,Eff_nijmsnmkzj) 
Drug_uoshwqrhtd : (Drug_sxyjmokium,Eff_ztkduofymk) 
Drug_lggazpohjv : (Drug_jlpywpcijs,Eff_gigkzazctw) 
Drug_qydmxxlhry : (Drug_qkpxecxtjb,Eff_werjduxrvt) 
Drug_lixnlfuqzn : (Drug_okoumbdcdf,Eff_tqqhrcxinf) 
Drug_gnyxftbrwe : (Drug_sdtmfqzjet,Eff_mbfvotvrlo) 
Drug_endmhjuuen : (Drug_jiymuopqfk,Eff_socswizclm) 
Drug_qupxemwtpb : (Drug_vwjlvyhvae,Eff_xrkpsousup) 
Drug_ccyymistso : (Drug_msfucvhyho,Eff_mijwwknfwy) 
Drug_mrgozbxqap : (Drug_wuqyucgehi,Eff_bfitiycglo) 
Drug_fxevqbtefl : (Drug_seczslnkqu,Eff_dqdkulxfdv) 
Drug_sexmwflzpg : (Drug_obezxjjivv,Eff_uccakqjwrz) 
Drug_oyaizcabif : (Drug_gowhsctjyb,Eff_ukkxnfeuxp) 
Drug_fziekbzstd : (Drug_vueubzpnei,Eff_ryetljpffq) ; (Drug_kpuiknofjv,Eff_bxcnuwrifp) ; (Drug_jzxjirkafg,Eff_phlnitkaqn) 
Drug_tvfdprftdo : (Drug_uakuydlxjp,Eff_wnhkpskizy) 
Drug_jbfimlpnia : (Drug_shrdisqjmi,Eff_vyfqbghwnw) 
Drug_snxiuwgetx : (Drug_kunzgtglxm,Eff_cdlpotnfef) 
Drug_nzvgirfgtk : (Drug_cvhmqamjtj,Eff_hpljvkxoyl) 
Drug_lycelfhokn : (Drug_isxlomfngu,Eff_eowkwznhoz) 
Drug_oxrqqtflor : (Drug_ebarouoohr,Eff_quychzlctz) 
Drug_gcuzxnoazr : (Drug_qbnhbrigkf,Eff_klpszzzbob) 
Drug_ytawpxmskk : (Drug_hzvvilpykf,Eff_cybsocvbpn) 
Drug_pocnjwmfae : (Drug_awkskrbobb,Eff_kkmtravpgq) 
Drug_fzkyhagswm : (Drug_uovdlgzwno,Eff_qxcjisiqhw) 
Drug_xqcjopmztb : (Drug_egsckxydrx,Eff_njhlfpvbuq) 
Drug_kvhkiucczy : (Drug_mmrrbxcufu,Eff_nxrhdgvgal) 
Drug_izzgufmolv : (Drug_amtjxugmwq,Eff_ccsxowzpoh) 
Drug_iybfptppta : (Drug_isnoywjgyr,Eff_vuaqzvqmku) 
Drug_nikjpikrcr : (Drug_hpdlqqonpe,Eff_kjujrtmljy) 
Drug_xdzysuuprh : (Drug_oycrsdfjho,Eff_laneghxrjj) 
Drug_myfgkexdyy : (Drug_dqrrhuhqvw,Eff_sdxxeubxvd) 
Drug_sfckptflbo : (Drug_gnfmchkxhk,Eff_gxnquugkmp) 
Drug_ytqukzshec : (Drug_zpakffhiny,Eff_ghtygtwdlq) 
Drug_prjisdkttc : (Drug_gpdgkhaqrn,Eff_immzxdsiba) 
Drug_npmwqpogem : (Drug_hhgnerjcjl,Eff_ugwffugxve) 
Drug_llgasukomk : (Drug_ggbrvbreeh,Eff_rmqawqseoi) 
Drug_rdeksplbbx : (Drug_cywzkphjoz,Eff_nfifmepllv) 
Drug_swqifvjibx : (Drug_dafxxmhquz,Eff_pilgfsdcta) ; (Drug_dgmjybemfw,Eff_zrhvibbzgf) 
Drug_dpqsjzlpru : (Drug_efmavpfick,Eff_jmoloduorh) 
Drug_qeyylzrgzb : (Drug_vmbukzuzpp,Eff_bskgkbholu) 
Drug_vqwdunvkqh : (Drug_jdzcpqhpgp,Eff_vnkguwpzrx) 
Drug_xjpyncwxod : (Drug_pwqrzaemjs,Eff_vxidcdxikz) 
Drug_vowxaydkck : (Drug_edbahmqmla,Eff_olwohovwgu) 
Drug_yrlxbixodk : (Drug_yaeaklvadz,Eff_ogtcfdsmjq) 
Drug_oegkziimxy : (Drug_veiwchlese,Eff_iovmvyubrx) 
Drug_mrgaamaxee : (Drug_afmppetntf,Eff_bhhhepxpoo) 
Drug_jljnpghykb : (Drug_adjsjqydrl,Eff_ckxqdiyelc) 
Drug_ukeomajeeu : (Drug_jvpmawimgr,Eff_fxhcicmefy) ; (Drug_pctwngwwmi,Eff_nrxucwzhdg) 
Drug_vnhspbxklv : (Drug_fsqpuhmipk,Eff_yxpwomqvlo) 
Drug_qrljzkpnra : (Drug_uzhlbhtfym,Eff_rmcesbmzgy) ; (Drug_xfmdscguam,Eff_lfuqawgtqc) 
Drug_kmqkfihcii : (Drug_ftgpqyztrj,Eff_mohodkmtin) 
Drug_isqyhzqpae : (Drug_znltmeumoa,Eff_mwkrdfevgs) 
Drug_mimvitqywe : (Drug_txfcvjhxse,Eff_nadaxbtpfj) 
Drug_rqofvxvetk : (Drug_guoacqpoeq,Eff_pkwjlzfiap) ; (Drug_mfsahcmbhc,Eff_ngbpksjook) 
Drug_zjgvkdiqwj : (Drug_oxldfjcmhz,Eff_cmqssjbara) 
Drug_loqteaberh : (Drug_rmdnpsbqbj,Eff_hhxprhlkys) 
Drug_qdodlqohwn : (Drug_shsogfcxkf,Eff_uwufdlyfra) 
Drug_iusdayottz : (Drug_ernqwnntfe,Eff_aaxydinonl) 
Drug_wphegiksfb : (Drug_dauobjrvex,Eff_susruujkvy) 
Drug_euzadgwouj : (Drug_yhdbxdsmde,Eff_fubkbaocai) 
Drug_mqtrwpfcio : (Drug_pgelyayccx,Eff_snyemmzqsu) 
Drug_kpmwhuuzns : (Drug_qznnxxrqwc,Eff_rdeqopxowc) 
Drug_tqiyuzqpeo : (Drug_hdlezxsxjl,Eff_fybjmkehyz) 
Drug_usjdlnusjz : (Drug_gxlhlzybhv,Eff_kytmngdfaj) ; (Drug_qpyxvxxjxb,Eff_biwsyhqvzx) 
Drug_bnmodafbgy : (Drug_fydxdmquah,Eff_hhlowsqhpj) 
Drug_opcklxffol : (Drug_dgvpkzrdux,Eff_vdhvgjuudj) 
Drug_nvdqngevkh : (Drug_ouxfdpyhsp,Eff_ehvjfjzgos) 
Drug_tllmeiehpd : (Drug_fkwoseukdv,Eff_bzdhocrpjk) 
Drug_rnbucgigln : (Drug_ldhyzkxwvf,Eff_zdpadshsqv) 
Drug_awasoovfwc : (Drug_lvwreajntk,Eff_ubtbivzpbx) 
Drug_buxkrlytfw : (Drug_qdxwkkypas,Eff_vielmaziqq) 
Drug_dhvqmsazxt : (Drug_ugqrladbxa,Eff_lzokfcryvb) 
Drug_tdonejfwsh : (Drug_bwpxafpmng,Eff_dkbolconoj) 
Drug_labfadscpo : (Drug_ddclsbuhcx,Eff_bzyljpkmch) 
Drug_hcqguctbgj : (Drug_otmbhhmbji,Eff_mikgcuzjro) 
Drug_gkvfahkpcv : (Drug_rjdpfevmaz,Eff_zcxnnryhcf) 
Drug_pfsnrhlodm : (Drug_xvnrcwaejv,Eff_lajijsfuua) 
Drug_potfwhvpmk : (Drug_clyamipbgr,Eff_jtxvxicbhv) 
Drug_mimqzvsjes : (Drug_geuzugyfzz,Eff_payipaigom) 
Drug_orowbbxswb : (Drug_muvtgjprlq,Eff_dlrvbprlff) 
Drug_hrpvmpeqzh : (Drug_ayixrmjywj,Eff_canhusjved) 
Drug_onygyvlxww : (Drug_pvuizrpdgw,Eff_vkxxppxtgd) 
Drug_teuzlayluc : (Drug_tpyxaptbcf,Eff_xknoynoirt) 
Drug_jiqlineplq : (Drug_odzieibvme,Eff_aqjugrxsrm) 
Drug_qpftexzmuj : (Drug_qobdedhcjj,Eff_bpapeqbzpb) 
Drug_bvzluqinyi : (Drug_fzatrdosvi,Eff_mrcfzvzoyp) 
Drug_bcgwojfskn : (Drug_qimqwrpwsi,Eff_cfikudthio) ; (Drug_yhhpfhecdv,Eff_wjeoeibvvn) 
Drug_nxglqhsdmd : (Drug_gndnyyqlqr,Eff_dnoxzuduev) 
Drug_sxlfoxlfnw : (Drug_voxifkgwbh,Eff_swzdmsljez) 
